lon,lat,heat flow
-5.400555556,36.24833333,0.0
175.4683,-38.5067,0.0
176.4267,-38.0817,0.0
175.91,-38.2567,0.0
176.0917,-38.6133,0.0
36.73333333,-1.266666667,0.1
-108.83,32.2333,0.4
-119.41,40.3917,0.6
-117.91,39.68,0.6
-106.99,34.035,0.8
36.67,-1.37,1.0
-112.301,43.6833,1.0
-114.908,42.9067,1.0
-113.0,43.6817,1.0
-111.941,43.6967,1.0
-112.895,43.52,1.0
-113.111,43.3933,1.0
-114.506,42.6367,1.0
-112.96,42.7883,1.0
-112.12,43.8217,1.0
-116.48,43.0467,1.0
25.5683,35.9117,1.0
12.3733,40.075,1.0
119.8,-2.8333,1.0
36.66666667,-1.366666667,1.0
119.8,-2.83333,1.0
-118.15,39.54,1.2
-116.18,43.6167,1.4
-113.36,37.1367,1.4
-106.97,34.0333,1.7
-115.94,42.7667,1.9
144.787,17.4883,1.9
-112.538,43.8133,2.0
-113.47,42.6833,2.0
-111.941,43.9183,2.0
-112.726,43.7567,2.0
-112.965,43.6733,2.0
-114.51,42.6367,2.0
-112.11,43.7483,2.0
20.1667,39.8167,2.0
10.47,41.6167,2.0
119.783,-2.8167,2.0
157.217,-7.635,2.0
-117.88,39.67,2.1
-5.28,37.8,2.1
-3.61,37.19,2.1
-3.12,37.19,2.1
157.242,-7.7017,2.1
-4.71,36.62,2.2
-3.93,41.24,2.3
-2.82,40.05,2.3
119.78333,-2.81667,2.3
36.2,63.2983,2.4
-83.08,38.1333,2.8
34.72,-0.48,3.0
-112.666,43.8183,3.0
-112.73,43.7583,3.0
-112.97,43.675,3.0
-112.93,42.6333,3.0
-111.94,43.9183,3.0
-83.08,38.135,3.0
20.2,40.15,3.0
26.25,67.6333,3.0
119.917,-2.8167,3.0
175.8300412,-38.8226659,3.0
175.939491,-38.69930685,3.0
-83.08,38.14,3.1
-117.94,39.685,3.1
119.81667,-2.83333,3.1
119.91667,-2.81667,3.3
-119.84,39.3817,3.5
119.66667,-4.63333,3.5
159.267,-28.4,3.8
36.63,-1.12,4.0
-82.8833,29.7,4.0
-113.2,43.5217,4.0
-112.165,43.6283,4.0
-114.266,42.8067,4.0
-111.598,35.0517,4.0
-112.316,44.01,4.0
-112.32,44.0283,4.0
-113.48,39.19,4.0
-113.63,39.3783,4.0
9.7733,41.6667,4.0
36.1917,63.31,4.0
119.667,-4.6333,4.0
-112.3167,44.01,4.0
36.63333333,-1.116666667,4.0
-111.5983,35.0517,4.0
-1.98,37.36,4.2
-117.91,39.1417,4.4
-4.706944444,36.62,4.4
20.0667,39.8833,4.5
119.76667,-5.08333,4.8
-114.751,42.8817,5.0
-111.411,34.87,5.0
-113.2,43.5233,5.0
-112.35,43.9367,5.0
-112.17,43.63,5.0
-104.1,32.85,5.0
-103.5,32.85,5.0
-93.08,28.61,5.0
32.95,34.65,5.0
12.38,40.08,5.0
36.1917,63.2933,5.0
119.65,-3.6333,5.0
119.767,-5.0833,5.0
-111.4117,34.87,5.0
-83.0779,38.1342,5.0
119.65,-3.63333,5.1
-107.05,34.08,5.2
106.3166667,20.66666667,5.4
-6.555555556,37.01138889,5.4
-106.57,35.7883,5.5
32.93333333,35.23333333,5.7
31.32,39.16,5.8
36.7833,-1.3,6.0
34.3167,-11.1,6.0
-112.345,43.935,6.0
-112.07,43.5367,6.0
-114.801,44.31,6.0
-111.41,34.87,6.0
-111.32,44.6167,6.0
-117.36,40.87,6.0
-104.9,32.85,6.0
20.05,39.9167,6.0
19.4667,42.0333,6.0
32.9333,35.2333,6.0
33.4333,35.2833,6.0
119.833,-2.8333,6.0
153.255,47.4933,6.0
-2.807222222,36.98111111,6.0
36.78333333,-1.3,6.1
36.145,63.2317,6.2
34.31667,-11.1,6.2805
-5.61,36.85,6.3
-3.6,37.17,6.3
119.83333,-2.83333,6.3
-2.821944444,40.05027778,6.9
119.5,-5.5,6.9
-113.366,43.6667,7.0
-112.775,43.725,7.0
-114.035,43.1867,7.0
-113.65,43.1083,7.0
-114.371,42.9183,7.0
-121.866,41.7367,7.0
-120.378,41.7333,7.0
-116.11,41.4167,7.0
-121.85,44.9833,7.0
-94.2,29.48,7.0
20.1333,39.9333,7.0
33.5667,35.3,7.0
35.2617,32.1017,7.0
119.817,-2.8333,7.0
-65.2,67.3,7.0
-121.8667,41.7367,7.0
-120.3783,41.7333,7.0
175.8191734,-38.84633105,7.0
35.26111,32.10139,7.123
36.1983,63.2967,7.2
33.56666667,35.3,7.2
36.1217,63.1567,7.6
34.38333,-9.91667,7.9553
34.3833,-9.9167,8.0
-124.533,49.7,8.0
-124.533,49.71,8.0
-121.771,42.19,8.0
-111.736,44.3133,8.0
-112.471,43.7817,8.0
-111.53,43.83,8.0
-114.828,44.295,8.0
-116.536,43.095,8.0
-121.87,41.7367,8.0
-120.38,41.7333,8.0
-112.78,43.7267,8.0
-114.37,42.9183,8.0
-113.65,43.11,8.0
-106.97,34.0033,8.0
-118.53,42.5633,8.0
-88.98,29.35,8.0
-122.095,48.955,8.0
32.7017,33.7967,8.0
12.7383,39.9983,8.0
176.347,-37.9917,8.0
119.85,-2.8333,8.0
144.763,17.4667,8.0
-121.7717,42.19,8.0
176.2893829,-38.06669213,8.0
175.8286827,-38.76178342,8.0
-122.0954,48.9554,8.0
-118.01,39.5617,8.2
119.85,-2.83333,8.3
176.3467,-37.9917,8.36
-122.82,38.9917,8.4
-118.53,39.3617,8.4
19.75,42.5667,8.4
-5.404722222,36.24722222,8.4
-5.275,37.80472222,8.4
-3.123333333,37.19277778,8.4
-5.618611111,37.96666667,8.4
19.55,40.45,8.5
-120.02,43.6717,8.8
-4.61,36.66,8.8
-112.216,43.755,9.0
-112.193,43.8267,9.0
-111.566,43.8217,9.0
-111.595,35.12,9.0
-121.785,46.5517,9.0
-92.6,36.3833,9.0
-111.74,44.315,9.0
-116.54,43.0967,9.0
-118.92,39.76,9.0
28.1167,42.9,9.0
25.6567,35.5133,9.0
25.49,35.5183,9.0
25.8483,35.4583,9.0
36.0,61.9667,9.0
-2.81,36.98,9.0
28.8333,36.4333,9.0
-92.6,36.383,9.0
-111.595,35.1217,9.0
-3.9275,41.235,9.2
-5.43,36.63,9.3
33.43333333,35.28333333,9.8
28.21,22.16,10.0
-112.193,43.7967,10.0
-114.823,44.3017,10.0
-85.8333,33.9333,10.0
-111.775,44.13,10.0
-112.683,43.49,10.0
-111.86,44.14,10.0
-112.098,43.4233,10.0
-122.525,41.8983,10.0
-122.396,41.8917,10.0
-112.19,43.8283,10.0
-70.3,-26.5333,10.0
32.9333,35.2167,10.0
12.475,40.3683,10.0
18.0017,36.49,10.0
29.8817,36.3017,10.0
119.867,-2.8333,10.0
157.24,-7.65,10.0
30.95,39.73,10.0
-112.3017,43.6833,10.0
-122.3967,41.8917,10.0
-70.301908,-26.545132,10.0
-70.30199,-26.541549,10.0
175.7736336,-38.76746477,10.0
30.84,39.43,10.02
-112.33,-73.297,10.1
32.93333333,35.21666667,10.3
28.2134,22.1574,10.4
119.86667,-2.83333,10.4
-3.609444444,37.18861111,10.5
-118.85,39.5567,10.6
-5.87,36.35,10.8
32.35,34.9,10.8
-119.65,39.8117,10.9
37.22,-1.32,11.0
26.4167,-18.3833,11.0
-111.275,44.3533,11.0
-111.891,44.2167,11.0
-112.936,43.505,11.0
-112.92,43.7083,11.0
-112.945,43.555,11.0
-113.133,43.4917,11.0
-114.733,44.4367,11.0
-122.4,41.8917,11.0
-122.53,41.8983,11.0
-112.19,43.7967,11.0
-118.34,39.9017,11.0
33.5833,35.3167,11.0
12.4033,40.075,11.0
-8.1983,37.6383,11.0
-8.2,37.64,11.0
125.0,1.5833,11.0
119.9,-3.5333,11.0
158.66,-7.925,11.0
11.985,57.6833,11.0
37.21666667,-1.316666667,11.0
32.43333333,35.0,11.0
125.0,1.58333,11.2
-93.1333,20.7333,11.3
119.9,-3.53333,11.3
