lon,lat,Bed Elevation,Mean Curvature,Sedthk,CurieDepth,Rocktype,LAB,Magnet Anolay,distance_to_volcano,distance_to_hotspot,moho,Bouguer Gravity,MiddleCrustThickness,UpperCrustThickness,Vp (km/s),Vs (km/s),TectReign,heat flow
-169,-88.5,1059.1632,-0.13772,0.646245055,27.1323835,16,99.38409254,70.68570633,1123.206364,1183.885158,40.7624902,11.02,-27.86020764,-14.93593422,8.13406,4.51854,2,54
130,-88.5,131.9223,-0.118621667,0.444694431,21.54931744,16,202.6743356,-9.206862822,1136.032689,1205.260216,40,-135.6428571,-24.6273777,-12.57646721,8.28359,4.66806,1,120
-154,-84.5,-653.6982,-0.005333183,1.356253936,27.78128922,16,59.56387099,-49.76368432,907.4159,940.1849568,23.61755742,-12.7,-23.65796296,-12.95194161,7.90748,4.29283,4,105
-162,-82.5,-553.58075,-0.001356485,2.035136972,29.26504583,9999,52.98561011,-26.22973639,729.9799154,752.0454269,22.34803138,-24.6,-21.40193691,-11.98668957,7.90897,4.29428,4,84
-149,-82,-346.57013,-0.013452111,1.964328545,18.11629644,16,49.5926768,-95.90332988,688.034938,926.56816,24.79151171,-5.925,-22.17862426,-12.19464202,7.92519,4.31034,4,69
47.5,-81,529.2481,-0.118638333,0.267978478,20.96911289,16,209.3617491,12.9389772,1937.037543,2021.361055,47.67839514,-141.3,-25.84058055,-12.78684321,8.24968,4.63521,1,43.4
-169,-79.5,-567.4345,-0.032547667,2.525857871,27.1323835,9999,57.5711847,70.68570633,523.0378313,542.1370161,23.79146661,11.02,-19.14698117,-10.86525914,7.85619,4.24178,4,54
-112.5,-79.5,-1589.0017,-0.030986,2,21.87148233,16,77.3851024,72.64189894,326.1704655,1615.525063,25,11.46,-20.05,-11.86,7.90133,4.28657,4,180
163.5,-78,466.02554,-0.061071333,0.206326654,21.33123156,16,75.35886301,-52.29881294,7.629179768,80.90361327,24.77896598,-41.78333333,-22.50990058,-11.88742849,8.00974,4.39594,5,54.208125
162.5,-78,1080.1191,-0.072044,0.11645449,22.39843967,5,101.4194153,-68.24069061,30.7472865,104.0088252,27.67534542,-115.7571429,-24.06631027,-12.99048347,8.03571,4.4218,6,62.7993
163,-78,534.7969,-0.066522444,0.150700343,21.972692,8,76.37749534,-57.11921056,19.1884079,92.45706136,26.60695532,-66,-23.29892807,-12.44479546,8.02278,4.40892,6,71.1569
166.5,-78,114.5797,-0.034333833,0.605690424,15.80648244,2,69.81905071,228.40616,24.77098314,11.55934348,23.43404014,-32.3,-19.25216565,-9.813912178,7.92868,4.3152,4,114.395
161,-78,1149.3848,-0.088166667,0.113811303,22.48517533,3,96.31826781,-52.26467135,30.59608257,138.6519064,28.76763546,-148.0375,-25.88187705,-14.25665175,8.07797,4.46388,2,141.225
166.5,-77.5,298.13794,-0.03605875,0.7,16.43705433,2,70.12181176,55.29037645,28.42991684,56.83473664,22.21956779,-34.95714286,-18.08,-9.49,7.91861,4.30527,4,79
161.5,-77.5,779.9204,-0.08755625,0.1,20.33703767,9,105.8935442,-30.54371795,27.5833398,141.1029696,26.1499635,-117.8,-28.59,-16.13,8.06474,4.45082,6,79.71
-180,-77,-633.38525,-0.036343556,2.525857871,16.22501733,9999,57.5711847,25.16666319,286.1721485,299.6407169,18.97572091,2.05,-19.14698117,-10.86525914,7.80151,4.18777,5,110
158.5,-76,1005.48193,-0.120661667,0.776854054,21.54931744,10,154.5989816,-34.56168434,208.7853055,270.1165079,31.11235227,-135.6428571,-25.2155802,-13.23122756,8.15607,4.54183,2,50
160.5,-76,803.24805,-0.106315,0.374166863,17.17711778,3,132.0118806,62.24389996,196.0805988,223.9741054,27.67303024,-136.375,-25.40981465,-13.43979573,8.09963,4.48564,6,50
160.5,-76,803.24805,-0.106315,0.374166863,17.17711778,3,132.0118806,62.24389996,196.0805988,223.9741054,27.67303024,-136.375,-25.40981465,-15.09250191,8.09963,4.48564,6,50
160.5,-76,803.24805,-0.106315,0.374166863,17.17711778,3,132.0118806,62.24389996,196.0805988,223.9741054,27.67303024,-136.375,-26.83339188,-13.43979573,8.09963,4.48564,6,50
160.5,-76,803.24805,-0.106315,0.374166863,17.17711778,3,132.0118806,62.24389996,196.0805988,223.9741054,27.67303024,-136.375,-26.83339188,-15.09250191,8.09963,4.48564,6,50
160.5,-76,803.24805,-0.106315,0.374166863,17.17711778,3,132.0118806,62.24389996,196.0805988,223.9741054,27.67303024,-136.375,-25.40981465,-13.43979573,8.09963,4.48564,6,50
160.5,-76,803.24805,-0.106315,0.374166863,17.17711778,3,132.0118806,62.24389996,196.0805988,223.9741054,27.67303024,-136.375,-25.40981465,-15.09250191,8.09963,4.48564,6,50
160.5,-76,803.24805,-0.106315,0.374166863,17.17711778,3,132.0118806,62.24389996,196.0805988,223.9741054,27.67303024,-136.375,-26.83339188,-13.43979573,8.09963,4.48564,6,50
160.5,-76,803.24805,-0.106315,0.374166863,17.17711778,3,132.0118806,62.24389996,196.0805988,223.9741054,27.67303024,-136.375,-26.83339188,-15.09250191,8.09963,4.48564,6,50
160.5,-76,803.24805,-0.106315,0.14910798,17.17711778,3,132.0118806,62.24389996,196.0805988,223.9741054,27.67303024,-136.375,-25.40981465,-13.43979573,8.09963,4.48564,6,50
160.5,-76,803.24805,-0.106315,0.14910798,17.17711778,3,132.0118806,62.24389996,196.0805988,223.9741054,27.67303024,-136.375,-25.40981465,-15.09250191,8.09963,4.48564,6,50
160.5,-76,803.24805,-0.106315,0.14910798,17.17711778,3,132.0118806,62.24389996,196.0805988,223.9741054,27.67303024,-136.375,-26.83339188,-13.43979573,8.09963,4.48564,6,50
160.5,-76,803.24805,-0.106315,0.14910798,17.17711778,3,132.0118806,62.24389996,196.0805988,223.9741054,27.67303024,-136.375,-26.83339188,-15.09250191,8.09963,4.48564,6,50
160.5,-76,803.24805,-0.106315,0.14910798,17.17711778,3,132.0118806,62.24389996,196.0805988,223.9741054,27.67303024,-136.375,-25.40981465,-13.43979573,8.09963,4.48564,6,50
160.5,-76,803.24805,-0.106315,0.14910798,17.17711778,3,132.0118806,62.24389996,196.0805988,223.9741054,27.67303024,-136.375,-25.40981465,-15.09250191,8.09963,4.48564,6,50
160.5,-76,803.24805,-0.106315,0.14910798,17.17711778,3,132.0118806,62.24389996,196.0805988,223.9741054,27.67303024,-136.375,-26.83339188,-13.43979573,8.09963,4.48564,6,50
160.5,-76,803.24805,-0.106315,0.14910798,17.17711778,3,132.0118806,62.24389996,196.0805988,223.9741054,27.67303024,-136.375,-26.83339188,-15.09250191,8.09963,4.48564,6,50
161,-76,529.6112,-0.101210556,0.119087692,17.04710322,9,105.1333929,78.01084773,190.4646854,212.8335644,26.48061582,-116.1714286,-26.52465177,-14.86844323,8.08283,4.4689,6,50
-102,-75.5,-674.9076,-0.043809,1.156321465,27.45953722,9999,54.63960105,-169.8877078,242.6523245,2101.637878,23.5686386,13.4875,-22.3520845,-12.5209117,7.88717,4.27265,4,52.4
-103,-75,-733.8142,-0.048659,0.72503048,26.33331814,9999,53.5917,-39.07956815,221.7580598,2126.372879,23.05311999,25.06666667,-22.24456176,-12.6321765,7.88707,4.27255,4,29.5
-101,-75,-640.83527,-0.051764667,0.818096645,25.4523676,2,54.51388,21.87251702,277.6807642,2162.598867,23.40570384,14.525,-20.7297399,-10.78530431,7.89366,4.27909,4,35.4
-101.5,-75,-600.57623,-0.050974333,0.788629941,26.314407,9999,55.67988799,0.735504135,263.6752691,2153.599728,23.26788947,15.2375,-20.85274145,-11.00648892,7.89196,4.2774,4,41.7
-102.5,-75,-685.84424,-0.049399333,0.745707066,26.33331814,9999,55.162685,-169.8877078,235.7099177,2135.486528,23.05312085,18.64285714,-22.09318702,-12.43503965,7.88866,4.27413,4,62.7
-102,-75,-617.5699,-0.050178667,0.770180448,27.45953722,9999,74.25072711,0.735504135,249.683793,2144.562213,23.12145665,14.575,-21.42830154,-11.69349472,7.89028,4.27573,4,79.95
-105,-74.5,-770.5307,-0.051554167,0.45867508,26.439447,9999,74.52386614,-26.76590218,190.1832144,2132.318398,21.43546237,39.37,-17.70709996,-8.905084781,7.88538,4.27088,4,63.4375
-103,-74.5,-348.90936,-0.053912667,0.512396438,26.33331814,8,56.08980565,-39.07956815,241.6378987,2169.614415,22.65072932,22.7875,-19.65995894,-10.40584928,7.89162,4.27708,4,69.8
-103.5,-74.5,-387.10678,-0.0531665,0.3,28.62849856,8,74.83791981,-24.13590584,228.5000797,2160.346695,22.54613686,23.9625,-19.73,-10.45,7.89007,4.27554,4,88.95
-112.5,-73.5,-475.47485,-0.0659655,0.6,21.87148233,9999,78.72809666,72.64189894,214.9593482,2071.32443,20.4747615,7.7,-14.07,-6.32,7.8975,4.28329,4,10.1
-104.5,-73,-539.6504,-0.056163,0.574601924,26.439447,9999,61.36531302,-26.76590218,322.7804689,2273.556658,20.6070168,37.2625,-13.77584623,-5.952197099,7.90465,4.29019,5,108.1
-58,-65,-384.3347,-0.062176222,0.88855978,20.83344444,9999,75.41177872,9.390958329,96.33524521,3509.714479,24.85132357,43.51428571,-15.81376061,-10.4798527,7.98195,4.36588,4,139
-56.5,-64.5,-287.82727,-0.0519605,0.72,25.83584289,9999,74.40396743,-59.19851724,102.9895062,3442.467745,25.93984464,45.05714286,-22.06,-13.15,7.95276,4.33688,4,125.5
-64,-64.5,-189.9877,-0.046302333,0.626640551,18.62590667,8,72.67039051,-21.25202599,83.90792246,3541.137851,22.72520433,52.98,-19.0425942,-9.291998308,7.94385,4.32755,4,133
-54.5,-63.5,-254.42854,-0.02402175,0.79,24.84265089,8,74.52883759,-100.1446008,124.3105902,3352.182661,23.40305776,84.34,-22.07,-13.18,7.90288,4.28719,4,76.5
-52,-62.5,-3104.8384,0.036963833,0.746944739,22.15867667,9999,81.37953876,-49.31411,279.992407,3232.859452,11.95504144,215.8818182,-9.735874717,-5.748261365,7.86078,4.2451,4,86
-49,-61.5,-2853.9727,0.048008333,0.562025968,22.35055656,9999,80.67514544,-47.51710447,471.4199442,3082.117409,10.94737869,215.8818182,-7.70901303,-4.587011903,7.84169,4.22547,4,16
-48,-61.5,-2743.3203,0.0369895,0.563801338,24.17845767,9999,78.55599083,85.67879011,516.4421531,3029.098304,11.16744547,215.8818182,-7.370956095,-4.474981529,7.84262,4.22622,4,69
-50,-61.5,-2955.4275,0.051754167,0.585766436,16.19756922,9999,79.11694341,-28.35269825,427.7479298,3135.101457,10.92326978,215.8818182,-8.139488462,-4.764581588,7.84219,4.22617,4,71
-48.5,-61.5,-2834.1257,0.04329025,0.41,24.23669156,9999,80.1467275,-35.84234828,493.7857452,3055.611559,10.9409351,215.8818182,-6.31,-4.4,7.8421,4.2258,4,74
-49.5,-61,-1869.6969,0.052151833,0.566070222,18.87082622,9999,78.99290901,37.33624336,483.1041838,3111.989655,10.50875139,215.8818182,-7.807781413,-4.642469742,7.84562,4.22911,4,34
-47,-61,-270.23145,0.026558333,0.590281832,26.14577389,9999,67.44535,93.19115731,591.332191,2977.401171,11.56293821,215.8818182,-7.059022506,-4.412669057,7.84572,4.22871,4,41
-49,-61,-1490.1257,0.049160333,0.558941063,21.26595311,9999,49.86994,79.30764023,503.9874577,3085.093099,10.50449118,215.8818182,-7.618925212,-4.581129911,7.84567,4.22904,4,47
-48.5,-61,-2322.088,0.044761333,0.557906879,23.883232,9999,78.56129928,78.61287033,525.2998894,3058.184661,10.47179551,215.8818182,-7.450720331,-4.530639276,7.84575,4.22901,4,55
-50,-61,-2190.256,0.053455111,0.57928618,16.85397033,9999,78.8849366,51.10334119,462.7095116,3138.873058,10.4881306,215.8818182,-8.018984108,-4.719694308,7.84567,4.22929,4,55.5
-48,-61,-1938.8301,0.039057889,0.563668631,25.83920033,9999,80.94820109,113.9079558,546.990117,3031.265637,10.6860006,215.8818182,-7.30306857,-4.488536136,7.84585,4.22901,4,65
-69,-54,174.21306,-0.112257778,1.391813527,27.77131956,1,67.07056281,-28.83794721,909.6402398,2357.93996,35.49254203,141.3432702,-19.0425942,-10.30693411,7.97179,4.35654,3,96
167,-47.5,-220.5892,-0.0586265,1.297885224,18.81191788,9999,110.3842148,-17.51558829,103.4781282,1286.623106,24.34957561,244.9321834,-12.68714929,-7.387429981,7.93635,4.32292,5,51.5
167,-47,-321.4723,-0.058342778,1.162872438,17.99329678,9999,168.78905,-117.2736803,48.22096168,1247.975518,24.52591723,199.4425492,-12.92095023,-7.543534287,7.94308,4.32944,5,70
168,-46.5,41.45088,-0.088598667,1.003938643,18.4925165,1,110.877191,205.6901853,84.67166807,1269.47869,25.16690289,214.6950736,-14.9215454,-8.54965766,7.96633,4.35239,5,76
171.5,-44,207.62755,-0.120833333,1.220509655,17.48142933,1,108.599709,62.98156477,459.6632628,1375.556395,26.66907106,163.9148085,-18.0575755,-10.29627746,8.09368,4.47786,2,35.8
172.5,-44,86.32484,-0.102381667,1.623920885,17.67744011,2,107.5674344,32.47148783,523.1240421,1451.265731,26.64422915,212.3741215,-17.8739461,-10.28432694,8.09059,4.47482,2,44
172,-44,46.360474,-0.112226667,1.437571979,16.39423978,1,108.1080769,21.97942292,490.8650923,1413.314044,26.6696253,181.3585341,-18.02103199,-10.32539688,8.09287,4.47708,2,53.05
172.5,-43.5,69.27545,-0.113245,1.1,22.486559,1,107.6095173,-35.10221612,491.4300211,1435.073528,32.33,177.0515659,-20.05,-11.32,8.09752,4.48144,2,58.1
170,-43.5,372.2325,-0.118715,0.702663083,24.93565786,1,109.5315303,-5.986355028,419.5627532,1243.329189,26.60632044,150.2794805,-17.23268272,-9.663414283,8.07804,4.46191,6,58.5
145.5,-43,208.6594,-0.062056667,1.394854761,13.42424689,8,73.3977268,-30.82044889,1728.983835,594.725305,25.91806715,182.713523,-12.34201658,-7.566670943,7.91592,4.29904,3,57
147,-43,263.62924,-0.079621111,1.476292745,15.10725278,10,63.66553,20.66462636,1615.006643,650.5735377,27.57147455,178.3345926,-12.45407935,-7.591139882,7.88341,4.26664,3,81.5
147.5,-43,129.96419,-0.064136,1.518022077,16.65914156,4,80.63850161,15.5854499,1577.094116,673.4664446,27.53870611,193.7578112,-12.26088359,-7.544399715,7.87477,4.25808,4,82.4
171,-43,441.99173,-0.122943333,1.000131439,23.890793,1,149.98383,-1.284940423,489.548489,1302.968934,26.81330468,158.0764496,-17.91053561,-10.08531702,8.106,4.48964,6,92.16875
145,-42.5,18.44838,-0.056113667,1.45080394,12.52940211,8,72.49584883,37.43826411,1787.300528,528.3372193,25.07180704,196.4949189,-12.88911884,-7.817883576,7.93024,4.31338,4,57
171.5,-42.5,442.5255,-0.122245,0.8,24.57177371,1,108.0603001,-38.97098705,420.8019668,1328.524753,30.62,162.4690014,-24.74,-13.58,8.09746,4.48094,2,76.5
147,-42.5,522.1373,-0.094539833,1.509570273,14.47421367,3,77.84406324,1.780518293,1635.828574,604.4933397,27.43599712,159.0634473,-13.17266044,-7.870475974,7.88858,4.27165,3,77
171,-42.5,83.84632,-0.115173333,1.13908049,25.54677767,9999,108.3437838,-24.34609297,443.4428187,1288.646383,26.89298568,189.753121,-17.76548635,-9.980589614,8.09118,4.4747,6,80.5
146.5,-42.5,635.9578,-0.10150625,0.05,11.58814322,10,75.75294605,17.6583076,1673.6223,581.7684818,29.07,150.2047296,-21.19,-10.49,7.89983,4.28287,3,83
147.5,-42.5,356.22964,-0.077645,0.1,16.76227167,4,80.53671022,4.527981053,1598.09277,629.2547837,30.77,173.0695866,-19.31,-8.79,7.87726,4.26041,4,94.16666667
146.5,-42,721.96576,-0.109175,1.53958407,13.20061556,4,75.48509022,-13.93710523,1695.818576,535.3391451,27.23021975,142.8823975,-14.04194634,-8.201576698,7.90549,4.28841,3,80.13333333
